description_text,link
3 children among 10 killed as truck rams car on Chhattisgarh highway,news.google.com/articles/CBMigQFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2luZGlhL3N0b3J5L2NoaGF0dGlzZ2FyaC1iZW1ldGFyYS1yb2FkLWFjY2lkZW50LWRlYXRoLXRvbGwtc2V2ZXJhbC1kZWFkLW1hbnktaW5qdXJlZC0yNTMyODYzLTIwMjQtMDQtMjnSAYUBaHR0cHM6Ly93d3cuaW5kaWF0b2RheS5pbi9hbXAvaW5kaWEvc3RvcnkvY2hoYXR0aXNnYXJoLWJlbWV0YXJhLXJvYWQtYWNjaWRlbnQtZGVhdGgtdG9sbC1zZXZlcmFsLWRlYWQtbWFueS1pbmp1cmVkLTI1MzI4NjMtMjAyNC0wNC0yOQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Road ministry to come up with cashless treatment for accident victims,news.google.com/articles/CBMihgFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbmV3cy9pbmRpYS9yb2FkLW1pbmlzdHJ5LXRvLWNvbWUtdXAtd2l0aC1jYXNobGVzcy10cmVhdG1lbnQtZm9yLWFjY2lkZW50LXZpY3RpbXMvYXJ0aWNsZXNob3cvMTA3MTE4MzMwLmNtc9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
Pune car accident case: Court sends three accused to police custody till May 24,news.google.com/articles/CBMijwFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbmV3cy9pbmRpYS9wdW5lLWNhci1hY2NpZGVudC1jYXNlLWNvdXJ0LXNlbmRzLXRocmVlLWFjY3VzZWQtdG8tcG9saWNlLWN1c3RvZHktdGlsbC1tYXktMjQvYXJ0aWNsZXNob3cvMTEwMzA1NzcyLmNtc9IBkwFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbmV3cy9pbmRpYS9wdW5lLWNhci1hY2NpZGVudC1jYXNlLWNvdXJ0LXNlbmRzLXRocmVlLWFjY3VzZWQtdG8tcG9saWNlLWN1c3RvZHktdGlsbC1tYXktMjQvYW1wX2FydGljbGVzaG93LzExMDMwNTc3Mi5jbXM?hl=en-IN&gl=IN&ceid=IN%3Aen
6 friends from Ghaziabad killed in car accident,news.google.com/articles/CBMic2h0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL2luZGlhLzYtZnJpZW5kcy1mcm9tLWdoYXppYWJhZC1raWxsZWQtaW4tY2FyLWFjY2lkZW50L2FydGljbGVzaG93LzExMDEyNzM4MC5jbXPSAXdodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9pbmRpYS82LWZyaWVuZHMtZnJvbS1naGF6aWFiYWQta2lsbGVkLWluLWNhci1hY2NpZGVudC9hbXBfYXJ0aWNsZXNob3cvMTEwMTI3MzgwLmNtcw?hl=en-IN&gl=IN&ceid=IN%3Aen
Government Launches Pilot Program for Cashless Treatment Of Road Accident Victims,news.google.com/articles/CBMieWh0dHBzOi8vd3d3LmNhcmFuZGJpa2UuY29tL25ld3MvZ292ZXJubWVudC1sYXVuY2hlcy1waWxvdC1wcm9ncmFtLWZvci1jYXNobGVzcy10cmVhdG1lbnQtb2Ytcm9hZC1hY2NpZGVudC12aWN0aW1zLTMyMTIyMTfSAX9odHRwczovL3d3dy5jYXJhbmRiaWtlLmNvbS9uZXdzL2dvdmVybm1lbnQtbGF1bmNoZXMtcGlsb3QtcHJvZ3JhbS1mb3ItY2FzaGxlc3MtdHJlYXRtZW50LW9mLXJvYWQtYWNjaWRlbnQtdmljdGltcy0zMjEyMjE3P2FtcD0x?hl=en-IN&gl=IN&ceid=IN%3Aen
"On Way To Wife's Father Funeral, Man Killed As Car Rams Truck In Kota: Cops",news.google.com/articles/CBMicGh0dHBzOi8vd3d3Lm5kdHYuY29tL2luZGlhLW5ld3Mvb24td2F5LXRvLXdpZmVzLWZhdGhlci1mdW5lcmFsLW1hbi1raWxsZWQtYXMtY2FyLXJhbXMtdHJ1Y2staW4ta290YS1jb3BzLTU3OTQ1NzbSAXZodHRwczovL3d3dy5uZHR2LmNvbS9pbmRpYS1uZXdzL29uLXdheS10by13aWZlcy1mYXRoZXItZnVuZXJhbC1tYW4ta2lsbGVkLWFzLWNhci1yYW1zLXRydWNrLWluLWtvdGEtY29wcy01Nzk0NTc2L2FtcC8x?hl=en-IN&gl=IN&ceid=IN%3Aen
International Road Federation calls for reducing GST on helmets from 18% to nil,https://m.economictimes.com/industry/transportation/roadways/international-road-federation-calls-for-reducing-gst-on-helmets-from-18-to-nil/articleshow/110943064.cms&ved=2ahUKEwjP3JKjqdaGAxXtfGwGHcUQA58QxfQBegQIBhAC&usg=AOvVaw2d3opW3iNoiB4t_T00hTel
Int'l Road Federation wants no GST on helmets to make them affordable,https://www.business-standard.com/economy/news/international-road-federation-wants-no-gst-on-helmets-to-make-it-affordable-124061200433_1.html&ved=2ahUKEwjP3JKjqdaGAxXtfGwGHcUQA58QxfQBegQICRAC&usg=AOvVaw0ZkFuj25TZbuOKDCKty_8q
"Tragic Hardoi Accident: Sand-Laden Truck Topples Over Hut, Killing 8 Including 4 Children",https://www.oneindia.com/india/tragic-hardoi-accident-sand-laden-truck-topples-over-hut-killing-8-including-4-children-3850465.html&ved=2ahUKEwjP3JKjqdaGAxXtfGwGHcUQA58QxfQBegQIAhAC&usg=AOvVaw1XK2beSxzmPwiwXvyAJmJt
"Three killed, 14 injured in road accident in Uttarakhand's Uttarkashi",https://www.indiatvnews.com/news/india/uttarakhand-many-killed-several-injured-in-road-accident-in-uttarkashi-ganganani-gangotri-dham-sdrf-ndrf-disaster-response-teams-rescue-operation-2024-06-12-936469&ved=2ahUKEwjP3JKjqdaGAxXtfGwGHcUQA58QxfQBegQIAxAC&usg=AOvVaw0tmhEHFS800tSAh5Rc7ZcV
Accident Caught on Camera in Pimpri Chinchwad: Woman Walking on Bhujbal Road Flung in the Air After Being,https://www.latestly.com/socially/india/news/accident-caught-on-camera-in-pimpri-chinchwad-woman-walking-on-bhujbal-road-flung-in-the-air-after-being-hit-by-speeding-car-in-hinjewadi-suffers-critical-injury-terrifying-video-surfaces-6031194.html&ved=2ahUKEwjP3JKjqdaGAxXtfGwGHcUQA58QxfQBegQICBAC&usg=AOvVaw1l6KO8TowfKZQEemt7q_BN
Caught On Cam: Woman Flung In Air As Speeding Car Hits Pedestrian In Pune. No Police Complaint Lodged,https://news.abplive.com/states/pune-accident-pune-car-crash-speeding-car-rams-into-woman-caught-on-camera-cctv-footage-maharashtra-news-1694927&ved=2ahUKEwjP3JKjqdaGAxXtfGwGHcUQA58QxfQBegQIBRAC&usg=AOvVaw3sKqcZdHIK2_rEksXHkFCb
Noida Road Accident: Bus Ferrying Private Company Employees Rams Into Boundary Wall of Housing Society in,https://www.latestly.com/socially/india/news/noida-road-accident-bus-ferrying-private-company-employees-rams-into-boundary-wall-of-housing-society-in-sector-118-two-injured-watch-video-6030962.html&ved=2ahUKEwjP3JKjqdaGAxXtfGwGHcUQA58QxfQBegQIBBAC&usg=AOvVaw1mVS9wWv_Y3LI4JNGefRda
"Three killed in road accident in Andhra Pradesh » Yes Punjab - Latest News from Punjab, India & World",https://yespunjab.com/three-killed-in-road-accident-in-andhra-pradesh/&ved=2ahUKEwjP3JKjqdaGAxXtfGwGHcUQA58QxfQBegQIARAC&usg=AOvVaw2AuZmO10N_NABZhyra3gQv
India News | ⚡Three Killed in Road Accident in Andhra Pradesh ,https://www.latestly.com/quickly/india/news/three-killed-in-road-accident-in-andhra-pradesh-6029430.html&ved=2ahUKEwjP3JKjqdaGAxXtfGwGHcUQA58QxfQBegQIBxAC&usg=AOvVaw3faDYI3VJMYIHUe605ABil
2 minor girls dead in S’garh road accident,https://timesofindia.indiatimes.com/city/bhubaneswar/two-minor-girls-dead-in-sgarh-road-accident/articleshow/110886554.cms&ved=2ahUKEwjP3JKjqdaGAxXtfGwGHcUQA58QxfQBegQIABAC&usg=AOvVaw3sdRM37Bn6ie23sKa7LvYZ
International Road Federation calls for reducing GST on helmets from 18% to nil,https://m.economictimes.com/industry/transportation/roadways/international-road-federation-calls-for-reducing-gst-on-helmets-from-18-to-nil/articleshow/110943064.cms&ved=2ahUKEwjKipakqdaGAxUnSWwGHSZ_A-4QxfQBegQIBBAC&usg=AOvVaw0a_bckDQB1hTB7r9khXNx5
Int'l Road Federation wants no GST on helmets to make them affordable,https://www.business-standard.com/economy/news/international-road-federation-wants-no-gst-on-helmets-to-make-it-affordable-124061200433_1.html&ved=2ahUKEwjKipakqdaGAxUnSWwGHSZ_A-4QxfQBegQICRAC&usg=AOvVaw2rts2adSrAbQJ994mBByNA
"Tragic Hardoi Accident: Sand-Laden Truck Topples Over Hut, Killing 8 Including 4 Children",https://www.oneindia.com/india/tragic-hardoi-accident-sand-laden-truck-topples-over-hut-killing-8-including-4-children-3850465.html&ved=2ahUKEwjKipakqdaGAxUnSWwGHSZ_A-4QxfQBegQIBhAC&usg=AOvVaw3zP32weiMLB9AicHLwnt2P
"Three killed, 14 injured in road accident in Uttarakhand's Uttarkashi",https://www.indiatvnews.com/news/india/uttarakhand-many-killed-several-injured-in-road-accident-in-uttarkashi-ganganani-gangotri-dham-sdrf-ndrf-disaster-response-teams-rescue-operation-2024-06-12-936469&ved=2ahUKEwjKipakqdaGAxUnSWwGHSZ_A-4QxfQBegQIAxAC&usg=AOvVaw2DVcdYLu6qdCiLWxOyFxaY
Accident Caught on Camera in Pimpri Chinchwad: Woman Walking on Bhujbal Road Flung in the Air After Being,https://www.latestly.com/socially/india/news/accident-caught-on-camera-in-pimpri-chinchwad-woman-walking-on-bhujbal-road-flung-in-the-air-after-being-hit-by-speeding-car-in-hinjewadi-suffers-critical-injury-terrifying-video-surfaces-6031194.html&ved=2ahUKEwjKipakqdaGAxUnSWwGHSZ_A-4QxfQBegQIBxAC&usg=AOvVaw2v3zHpCTWGsG8krBM5pK3K
Caught On Cam: Woman Flung In Air As Speeding Car Hits Pedestrian In Pune. No Police Complaint Lodged,https://news.abplive.com/states/pune-accident-pune-car-crash-speeding-car-rams-into-woman-caught-on-camera-cctv-footage-maharashtra-news-1694927&ved=2ahUKEwjKipakqdaGAxUnSWwGHSZ_A-4QxfQBegQIARAC&usg=AOvVaw3AHFAGt4zW4e3yhicuXVBU
Noida Road Accident: Bus Ferrying Private Company Employees Rams Into Boundary Wall of Housing Society in,https://www.latestly.com/socially/india/news/noida-road-accident-bus-ferrying-private-company-employees-rams-into-boundary-wall-of-housing-society-in-sector-118-two-injured-watch-video-6030962.html&ved=2ahUKEwjKipakqdaGAxUnSWwGHSZ_A-4QxfQBegQIBRAC&usg=AOvVaw0bQMQsCnJuki5aRNX9Jgm9
"Three killed in road accident in Andhra Pradesh » Yes Punjab - Latest News from Punjab, India & World",https://yespunjab.com/three-killed-in-road-accident-in-andhra-pradesh/&ved=2ahUKEwjKipakqdaGAxUnSWwGHSZ_A-4QxfQBegQIABAC&usg=AOvVaw2xf8ev8ljrQ03OX16wTN99
India News | ⚡Three Killed in Road Accident in Andhra Pradesh ,https://www.latestly.com/quickly/india/news/three-killed-in-road-accident-in-andhra-pradesh-6029430.html&ved=2ahUKEwjKipakqdaGAxUnSWwGHSZ_A-4QxfQBegQICBAC&usg=AOvVaw02a-bgdZQm9mghjNDzVYpK
2 minor girls dead in S’garh road accident,https://timesofindia.indiatimes.com/city/bhubaneswar/two-minor-girls-dead-in-sgarh-road-accident/articleshow/110886554.cms&ved=2ahUKEwjKipakqdaGAxUnSWwGHSZ_A-4QxfQBegQIAhAC&usg=AOvVaw28ouMAgzg7m_i2ELYHa-n0
"4 Killed, 6 Injured in head-on collision in UP's Amroha",https://www.republicworld.com/india/4-killed-6-injured-in-head-on-collision-in-up-s-amroha/&ved=2ahUKEwjk8tOkqdaGAxXCUGwGHXuGDpg4ChDF9AF6BAgAEAI&usg=AOvVaw3TzNNSGJjuLdfdIuFcHcan
Four Delhi YouTubers Killed After Car Collision In UPs Amroha,https://english.jagran.com/india/round2world-youtuber-lucky-salman-shahrukh-shahnawaz-died-in-road-accident-in-amroha-10166158&ved=2ahUKEwjk8tOkqdaGAxXCUGwGHXuGDpg4ChDF9AF6BAgJEAI&usg=AOvVaw2-z3Kh1jQfZMtPq0OZUdrx
"Four killed, four injured in UP road accident » Yes Punjab - Latest News from Punjab, India & World",https://yespunjab.com/four-killed-four-injured-in-up-road-accident/&ved=2ahUKEwjk8tOkqdaGAxXCUGwGHXuGDpg4ChDF9AF6BAgEEAI&usg=AOvVaw1H4E_PCZb8zoVaDRPd0lJ4
Four YouTubers killed in tragic road accident in UP’s Amroha,https://www.dnaindia.com/india/report-four-youtubers-round-2-world-killed-in-tragic-road-accident-in-up-s-amroha-lucky-salman-shahrukh-shahnawaz-3092935&ved=2ahUKEwjk8tOkqdaGAxXCUGwGHXuGDpg4ChDF9AF6BAgGEAI&usg=AOvVaw2GmvH5nmxe5uzkT0W04bnA
YouTuber Lucky Chaudhary Dies: Four Content Creators Returning From Birthday Party Killed in Car Accident,https://www.latestly.com/socially/india/news/youtuber-lucky-chaudhary-dies-four-content-creators-returning-from-birthday-party-killed-in-car-accident-in-uttar-pradeshs-amroha-disturbing-videos-surface-6026622.html&ved=2ahUKEwjk8tOkqdaGAxXCUGwGHXuGDpg4ChDF9AF6BAgBEAI&usg=AOvVaw3nQZsDg43xpe-pPjDT8kQ9
Four-year-old killed in road accident near Manali,https://timesofindia.indiatimes.com/city/chennai/four-year-old-killed-in-road-accident-near-manali/articleshow/110828050.cms&ved=2ahUKEwjk8tOkqdaGAxXCUGwGHXuGDpg4ChDF9AF6BAgCEAI&usg=AOvVaw2zgH9omNJ36_1ws4E4p669
Ophthalmologist killed as van hits building's security gate,https://timesofindia.indiatimes.com/city/mumbai/dentist-died-in-road-accident-at-sion/articleshow/110816928.cms&ved=2ahUKEwjk8tOkqdaGAxXCUGwGHXuGDpg4ChDF9AF6BAgDEAI&usg=AOvVaw3fikwv992NpOZ2OaGLouP6
Pune Porsche car accident: Illegal portions of resort owned by accused juvenile’s family demolished in Mahabaleshwar,https://www.financialexpress.com/india-news/pune-porsche-car-accident-illegal-portions-of-resort-owned-by-accused-juveniles-family-demolished-in-mahabaleshwar/3518601/&ved=2ahUKEwjk8tOkqdaGAxXCUGwGHXuGDpg4ChDF9AF6BAgIEAI&usg=AOvVaw2xcb1KjmtWETQaLabyuGCF
"Hit by car, student thrown off flyover in Gurgaon, dies",https://indianexpress.com/article/cities/delhi/hit-by-car-student-thrown-off-flyover-in-gurgaon-dies-9379002/&ved=2ahUKEwjk8tOkqdaGAxXCUGwGHXuGDpg4ChDF9AF6BAgHEAI&usg=AOvVaw06lY6iL-AKAEUpPq4WHMut
"Student, 19, Killed In Road Accident On Delhi-Gurugram Expressway: Cops",https://www.ndtv.com/india-news/student-19-killed-in-road-accident-on-delhi-gurugram-expressway-cops-5841837&ved=2ahUKEwjk8tOkqdaGAxXCUGwGHXuGDpg4ChDF9AF6BAgFEAI&usg=AOvVaw1CukZV5lm9Wy4jTFybK0cQ
"Punjabi youth Jasmer Singh, nephew of Congress MLA, dies in tragic road accident in Canada",https://www.ptcnews.tv/world-news/punjabi-youth-jasmer-singh-nephew-of-congress-mla-dies-in-tragic-road-accident-in-canada-4391682&ved=2ahUKEwjW6qSlqdaGAxUNTWwGHc8HA8M4FBDF9AF6BAgAEAI&usg=AOvVaw04wjhXzfe4JJLYMvYKpUnc
"Pune crash case: Teen's father, grandfather booked in separate suicide case",https://www.business-standard.com/india-news/pune-crash-case-teen-s-father-grandfather-booked-in-separate-suicide-case-124060700528_1.html&ved=2ahUKEwjW6qSlqdaGAxUNTWwGHc8HA8M4FBDF9AF6BAgJEAI&usg=AOvVaw2qi4U042gOjydQkgP_m5VS
Two Indian Haj pilgrims dead in elevator crash in Makkah,https://telanganatoday.com/two-indian-haj-pilgrims-dead-in-elevator-crash-in-makkah&ved=2ahUKEwjW6qSlqdaGAxUNTWwGHc8HA8M4FBDF9AF6BAgBEAI&usg=AOvVaw0fon8HHIVhZ7y9Sh0SiuPZ
"High-speed horror: SUV jumps signal, hits another car and flips several times",https://timesofindia.indiatimes.com/city/hyderabad/speeding-suv-jumps-signal-hits-another-vehicle-flips-many-times/articleshow/110778863.cms&ved=2ahUKEwjW6qSlqdaGAxUNTWwGHc8HA8M4FBDF9AF6BAgFEAI&usg=AOvVaw1Yy1ba1li9He-S8A5pAd50
Pune crash: Juvenile Justice Board extends remand of minor till June 12,https://www.business-standard.com/india-news/pune-crash-juvenile-justice-board-extends-remand-of-minor-till-june-12-124060600183_1.html&ved=2ahUKEwjW6qSlqdaGAxUNTWwGHc8HA8M4FBDF9AF6BAgHEAI&usg=AOvVaw0W_XWvYcC9fWZIlcepFee9
Pune car accident case: Juvenile Justice Board extends remand of accused teen till June 12,https://m.economictimes.com/news/india/pune-car-accident-case-juvenile-justice-board-extends-remand-of-accused-teen-till-june-12/articleshow/110738308.cms&ved=2ahUKEwjW6qSlqdaGAxUNTWwGHc8HA8M4FBDF9AF6BAgDEAI&usg=AOvVaw0wzKURiTBinnGS26fTdc8P
"Pune Porsche accident case: Forensic report confirms blood sample swap, Police to court",https://m.economictimes.com/news/india/pune-porsche-accident-case-forensic-report-confirms-blood-sample-swap-police-to-court/articleshow/110735613.cms&ved=2ahUKEwjW6qSlqdaGAxUNTWwGHc8HA8M4FBDF9AF6BAgIEAI&usg=AOvVaw3vwvr1K-VAWU78rSJb_SjF
"Video: Speeding car plows into 5 bikes in Maharashtra’s Kolhapur, 3 killed",https://www.indiatoday.in/india/story/speeding-car-hits-bikes-vehicles-road-accident-maharashtra-kolhapur-2548181-2024-06-03&ved=2ahUKEwjW6qSlqdaGAxUNTWwGHc8HA8M4FBDF9AF6BAgEEAI&usg=AOvVaw3dHTlgXwHLIdq8gPHzANsS
"Rajgarh Road Accident: Tractor-trolley Full Of Wedding Procession Overturns, Leaves 13 Dead | ABP News",https://news.abplive.com/videos/news/india-rajgarh-road-accident-tractor-trolley-full-of-wedding-procession-overturns-leaves-13-dead-abp-news-1692682&ved=2ahUKEwjW6qSlqdaGAxUNTWwGHc8HA8M4FBDF9AF6BAgGEAI&usg=AOvVaw1uqaPOdXGERz8Y-CnB2vxC
Porsche Car Crash Case: Pune RTO Submits Report To Police,https://www.ndtv.com/india-news/porsche-car-crash-case-pune-rto-submits-report-to-police-5809788&ved=2ahUKEwjW6qSlqdaGAxUNTWwGHc8HA8M4FBDF9AF6BAgCEAI&usg=AOvVaw0RNIYWOI2t6Y0I06zB0C09
"Speeding Car Crashes Into Multiple Bikes At Crossing In Maharashtra's Kolhapur, 3 Dead, 6 Injured",https://news.abplive.com/news/india/road-crash-kolhapur-accident-car-crash-maharashtra-news-1692898&ved=2ahUKEwiJ49KlqdaGAxUeSGwGHUVvD1o4HhDF9AF6BAgDEAI&usg=AOvVaw1lkQGRVFx-_Vpcn48nq09R
"Car Crashes Into Multiple Bikes At Intersection In Maharashtra, 3 Dead",https://www.ndtv.com/india-news/car-crashes-into-multiple-bikes-at-intersection-in-maharashtra-3-dead-5807242&ved=2ahUKEwiJ49KlqdaGAxUeSGwGHUVvD1o4HhDF9AF6BAgJEAI&usg=AOvVaw2Bx9Hua6RvdrJotAyfKeFa
"Driver ‘dozes off’, three of Lucknow family killed",https://timesofindia.indiatimes.com/city/bareilly/three-of-lucknow-family-killed-in-road-accident/articleshow/110650535.cms&ved=2ahUKEwiJ49KlqdaGAxUeSGwGHUVvD1o4HhDF9AF6BAgBEAI&usg=AOvVaw1eb4jznSKk6q0Qg6hHHvPn
Balasore accident anniversary: Train mishap deja vu strikes again as two goods trains collide in Punjab,https://m.economictimes.com/industry/transportation/railways/balasore-accident-anniversary-train-mishap-deja-vu-strikes-again-as-two-goods-trains-collide-in-punjab/articleshow/110634347.cms&ved=2ahUKEwiJ49KlqdaGAxUeSGwGHUVvD1o4HhDF9AF6BAgAEAI&usg=AOvVaw2_JB5Ck8gD0QT3EXb5dkHG
"Pune Porsche crash: I was drunk so…, What teen revealed during police interrogations | Today News",https://www.livemint.com/news/india/pune-porsche-crash-i-was-drunk-so-what-teen-revealed-during-police-interrogations-11717292843051.html&ved=2ahUKEwiJ49KlqdaGAxUeSGwGHUVvD1o4HhDF9AF6BAgFEAI&usg=AOvVaw0MIr60BxHPjC4pXPDm03Yz
Pune Porsche accident: Police make big revelation in court on blood sample row,https://www.hindustantimes.com/india-news/pune-porsche-accident-police-make-big-revelation-in-court-on-blood-sample-row-101717340247309.html&ved=2ahUKEwiJ49KlqdaGAxUeSGwGHUVvD1o4HhDF9AF6BAgGEAI&usg=AOvVaw0hH-3D-PoafhxOrEmUaZeX
"On Way To Wife's Father Funeral, Man Killed As Car Rams Truck In Kota: Cops",https://www.ndtv.com/india-news/on-way-to-wifes-father-funeral-man-killed-as-car-rams-truck-in-kota-cops-5794576&ved=2ahUKEwiJ49KlqdaGAxUeSGwGHUVvD1o4HhDF9AF6BAgCEAI&usg=AOvVaw1sXOajdEasKSpTzrDYw8kC
Pune Porsche accident: Teen's friends bring new twist in case amid sample row,https://www.hindustantimes.com/india-news/pune-porsche-case-teens-friends-bring-new-twist-in-disturbing-saga-amid-blood-sample-row-101717148077198.html&ved=2ahUKEwiJ49KlqdaGAxUeSGwGHUVvD1o4HhDF9AF6BAgEEAI&usg=AOvVaw0V6gMeZU5d5cbMBvchXI_H
"Bus crashes into gorge in India-controlled Kashmir, killing at least 21 people",https://www.zeebiz.com/trending/news-shiv-khori-accident-news-bus-carrying-hindu-pilgrims-crashed-in-jammu-akhnoor-saleem-khan-passengers-injured-292998&ved=2ahUKEwiJ49KlqdaGAxUeSGwGHUVvD1o4HhDF9AF6BAgHEAI&usg=AOvVaw0sYXVduVec7Lh4yTY7fbMS
Luxury car accidents put dismal spotlight on India's complex road realities,https://auto.hindustantimes.com/auto/news/road-accidents-involving-luxury-cars-raise-concerns-over-safety-measures-41717063198697.html&ved=2ahUKEwiJ49KlqdaGAxUeSGwGHUVvD1o4HhDF9AF6BAgIEAI&usg=AOvVaw1SxF1Ni5Ti_g28rOEuTwp2
"Cops Plan ""Digital Reconstruction"" Of Pune Porsche Accident Using AI Tools",https://www.ndtv.com/india-news/porsche-car-crash-police-planning-digital-recreation-of-accident-scene-with-ai-tools-5774174&ved=2ahUKEwjI4pCmqdaGAxXya2wGHS8eDrc4KBDF9AF6BAgCEAI&usg=AOvVaw2G9U3HcdAiTYRmy6MdjJ63
What Were The Rules That Were Broken In Pune Porsche Car Crash? What Is The Punishment For Drink-Driving?,https://www.news18.com/explainers/why-teen-in-pune-porsche-car-crash-that-killed-2-was-let-off-what-are-drink-driving-laws-in-india-8898907.html&ved=2ahUKEwjI4pCmqdaGAxXya2wGHS8eDrc4KBDF9AF6BAgJEAI&usg=AOvVaw1_anDnzgdljzk5x_Bl0MlM
What India's Hit-And-Run Data Says About Road Accident Deaths,https://www.ndtv.com/india-news/what-indias-hit-and-run-data-says-about-road-accident-deaths-5754915&ved=2ahUKEwjI4pCmqdaGAxXya2wGHS8eDrc4KBDF9AF6BAgHEAI&usg=AOvVaw0yIlq-Kc9cu5PT7qZhVBby
"Over 10 lakh motor accident claims worth ₹80,455 crore pending nationwide, reveals RTI",https://www.hindustantimes.com/india-news/over-10-lakh-motor-accident-claims-worth-rs-80-455-crore-pending-nationwide-reveals-rti-101716718302641.html&ved=2ahUKEwjI4pCmqdaGAxXya2wGHS8eDrc4KBDF9AF6BAgAEAI&usg=AOvVaw1VURc1WqvOwSHGb_R2rof2
"3 Indian-origin students killed in a car crash in US, two injured",https://www.hindustantimes.com/world-news/us-news/3-indian-origin-students-killed-in-a-car-crash-in-us-two-injured-101716349351253.html&ved=2ahUKEwjI4pCmqdaGAxXya2wGHS8eDrc4KBDF9AF6BAgIEAI&usg=AOvVaw2xc2rt7jxc6Di0FgpiQT0g
India Porsche deaths: Outrage at bail granted to underage 'drunk driver' in Pune,https://www.thenationalnews.com/news/asia/2024/05/21/pune-porsche-accident/&ved=2ahUKEwjI4pCmqdaGAxXya2wGHS8eDrc4KBDF9AF6BAgBEAI&usg=AOvVaw1XOU1-I9dN6lqNexDUwywT
"Pune Porsche crash: Teen driver's father, owners of two bars arrested",https://www.indiatoday.in/india/story/pune-porsche-crash-update-father-of-teen-who-killed-2-techies-detained-from-aurangabad-2541770-2024-05-21&ved=2ahUKEwjI4pCmqdaGAxXya2wGHS8eDrc4KBDF9AF6BAgDEAI&usg=AOvVaw2e1F4K3dWFd217vZUeZRVg
Pune Porsche accident: Who were the two IT professionals who died in car crash,https://www.hindustantimes.com/india-news/pune-porsche-accident-who-were-the-two-it-professionals-who-died-in-car-crash-101716298272087.html&ved=2ahUKEwjI4pCmqdaGAxXya2wGHS8eDrc4KBDF9AF6BAgEEAI&usg=AOvVaw1NhRSyOhLSouHzKsy7jneQ
"Crime Branch To Probe Pune Porsche Crash, Teen Driver's Father Arrested",https://www.ndtv.com/india-news/teen-drivers-father-arrested-after-pune-porsche-crash-killed-2-5709747&ved=2ahUKEwjI4pCmqdaGAxXya2wGHS8eDrc4KBDF9AF6BAgGEAI&usg=AOvVaw0Bh860gDQQdF6rhqVtFFdV
Three Indian-origin students killed in road accident in US,https://www.deccanherald.com/world/three-indian-origin-students-killed-in-road-accident-in-us-3033499&ved=2ahUKEwjI4pCmqdaGAxXya2wGHS8eDrc4KBDF9AF6BAgFEAI&usg=AOvVaw2cXEj286cxd1aCulue1RSA
Pune Porsche Crash: CCTV shows teen drinking alcohol in pub before crash that killed 2 - India Today,https://www.indiatoday.in/cities/pune/video/cctv-footage-shows-pune-teen-with-alcohol-in-pub-before-accident-that-killed-2-2541591-2024-05-20&ved=2ahUKEwjGy72mqdaGAxXFVmwGHSubBLQ4MhDF9AF6BAgEEAI&usg=AOvVaw1_PrgH6xkQv1pQhomMM1xW
Pune teen who killed 2 people with Porsche granted bail - India Today,https://www.indiatoday.in/cities/pune/video/pune-teen-who-killed-2-people-with-porsche-granted-bail-2541488-2024-05-20&ved=2ahUKEwjGy72mqdaGAxXFVmwGHSubBLQ4MhDF9AF6BAgJEAI&usg=AOvVaw1SmgTQsKjckzNZMkPXVVFF
Pune Porsche accident: CCTV captures speeding car before crash that killed 2,https://indianexpress.com/article/cities/pune/pune-porsche-accident-cctv-captures-speeding-car-9340833/&ved=2ahUKEwjGy72mqdaGAxXFVmwGHSubBLQ4MhDF9AF6BAgHEAI&usg=AOvVaw2WJm3SMv578eaJBYsnQwjW
"Exclusive: Pune teen must be tried as adult, says top cop amid outrage over bail",https://www.indiatoday.in/india/story/pune-crash-porche-techies-killed-outrage-top-cop-exclusive-2541588-2024-05-20&ved=2ahUKEwjGy72mqdaGAxXFVmwGHSubBLQ4MhDF9AF6BAgDEAI&usg=AOvVaw2xV_BxTbacVwWA2paQtIOq
Pune Porsche crash: CCTV captures sports car speeding at 150 kmph before crashing into bike - India Today,https://www.indiatoday.in/cities/pune/video/cctv-captures-accident-involving-porsche-two-wheeler-in-pune-2541585-2024-05-20&ved=2ahUKEwjGy72mqdaGAxXFVmwGHSubBLQ4MhDF9AF6BAgBEAI&usg=AOvVaw1YFGmYUuNu1YOeAgaoxrNl
2 killed as Porsche hits bike in Pune: Minor driver told to write essay on accident by court,https://indianexpress.com/article/cities/pune/luxury-car-bike-accident-minor-booked-yerwada-9338669/&ved=2ahUKEwjGy72mqdaGAxXFVmwGHSubBLQ4MhDF9AF6BAgAEAI&usg=AOvVaw2oD-PKc2_gcajcO61cJ0v4
