description_text,link
"Soon, highways and city roads may have dedicated lanes for two-wheelers",news.google.com/articles/CBMinQFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vaW5kdXN0cnkvdHJhbnNwb3J0YXRpb24vcm9hZHdheXMvc29vbi1oaWdod2F5cy1hbmQtY2l0eS1yb2Fkcy1tYXktaGF2ZS1kZWRpY2F0ZWQtbGFuZXMtZm9yLXR3by13aGVlbGVycy9hcnRpY2xlc2hvdy8xMTA0ODc2NDMuY21z0gGhAWh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9pbmR1c3RyeS90cmFuc3BvcnRhdGlvbi9yb2Fkd2F5cy9zb29uLWhpZ2h3YXlzLWFuZC1jaXR5LXJvYWRzLW1heS1oYXZlLWRlZGljYXRlZC1sYW5lcy1mb3ItdHdvLXdoZWVsZXJzL2FtcF9hcnRpY2xlc2hvdy8xMTA0ODc2NDMuY21z?hl=en-IN&gl=IN&ceid=IN%3Aen
2 minor girls dead in S’garh road accident,news.google.com/articles/CBMiemh0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL2NpdHkvYmh1YmFuZXN3YXIvdHdvLW1pbm9yLWdpcmxzLWRlYWQtaW4tc2dhcmgtcm9hZC1hY2NpZGVudC9hcnRpY2xlc2hvdy8xMTA4ODY1NTQuY21z0gF-aHR0cHM6Ly90aW1lc29maW5kaWEuaW5kaWF0aW1lcy5jb20vY2l0eS9iaHViYW5lc3dhci90d28tbWlub3ItZ2lybHMtZGVhZC1pbi1zZ2FyaC1yb2FkLWFjY2lkZW50L2FtcF9hcnRpY2xlc2hvdy8xMTA4ODY1NTQuY21z?hl=en-IN&gl=IN&ceid=IN%3Aen
Luxury car accidents put dismal spotlight on India's complex road realities,news.google.com/articles/CBMihgFodHRwczovL2F1dG8uaGluZHVzdGFudGltZXMuY29tL2F1dG8vbmV3cy9yb2FkLWFjY2lkZW50cy1pbnZvbHZpbmctbHV4dXJ5LWNhcnMtcmFpc2UtY29uY2VybnMtb3Zlci1zYWZldHktbWVhc3VyZXMtNDE3MTcwNjMxOTg2OTcuaHRtbNIBigFodHRwczovL2F1dG8uaGluZHVzdGFudGltZXMuY29tL2F1dG8vbmV3cy9yb2FkLWFjY2lkZW50cy1pbnZvbHZpbmctbHV4dXJ5LWNhcnMtcmFpc2UtY29uY2VybnMtb3Zlci1zYWZldHktbWVhc3VyZXMvYW1wLTQxNzE3MDYzMTk4Njk3Lmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen
Pune Porsche crash: CCTV captures sports car speeding at 150 kmph before crashing into bike - India Today,news.google.com/articles/CBMie2h0dHBzOi8vd3d3LmluZGlhdG9kYXkuaW4vY2l0aWVzL3B1bmUvdmlkZW8vY2N0di1jYXB0dXJlcy1hY2NpZGVudC1pbnZvbHZpbmctcG9yc2NoZS10d28td2hlZWxlci1pbi1wdW5lLTI1NDE1ODUtMjAyNC0wNS0yMNIBf2h0dHBzOi8vd3d3LmluZGlhdG9kYXkuaW4vYW1wL2NpdGllcy9wdW5lL3ZpZGVvL2NjdHYtY2FwdHVyZXMtYWNjaWRlbnQtaW52b2x2aW5nLXBvcnNjaGUtdHdvLXdoZWVsZXItaW4tcHVuZS0yNTQxNTg1LTIwMjQtMDUtMjA?hl=en-IN&gl=IN&ceid=IN%3Aen
Nitin Gadkari targets 50% reduction in road accident deaths by 2030,news.google.com/articles/CBMigwFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vaW5kaWEtbmV3cy9uaXRpbi1nYWRrYXJpLXRhcmdldHMtNTAtcmVkdWN0aW9uLWluLXJvYWQtYWNjaWRlbnQtZGVhdGhzLWJ5LTIwMzAtMTI0MDExNjAwMzg2XzEuaHRtbNIBhwFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vYW1wL2luZGlhLW5ld3Mvbml0aW4tZ2Fka2FyaS10YXJnZXRzLTUwLXJlZHVjdGlvbi1pbi1yb2FkLWFjY2lkZW50LWRlYXRocy1ieS0yMDMwLTEyNDAxMTYwMDM4Nl8xLmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen
Pune Porsche accident: Who were the two IT professionals who died in car crash,news.google.com/articles/CBMijAFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vaW5kaWEtbmV3cy9wdW5lLXBvcnNjaGUtYWNjaWRlbnQtd2hvLXdlcmUtdGhlLXR3by1pdC1wcm9mZXNzaW9uYWxzLXdoby1kaWVkLWluLWNhci1jcmFzaC0xMDE3MTYyOTgyNzIwODcuaHRtbNIBkAFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vaW5kaWEtbmV3cy9wdW5lLXBvcnNjaGUtYWNjaWRlbnQtd2hvLXdlcmUtdGhlLXR3by1pdC1wcm9mZXNzaW9uYWxzLXdoby1kaWVkLWluLWNhci1jcmFzaC0xMDE3MTYyOTgyNzIwODctYW1wLmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen
Record 1.68 lakh road accident deaths in 2022; 1 every 3 minutes,news.google.com/articles/CBMif2h0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL2luZGlhL3JlY29yZC0xLTY4LWxha2gtcm9hZC1hY2NpZGVudC1kZWF0aHMtaW4tMjAyMi0xLWV2ZXJ5LTMtbWluL2FydGljbGVzaG93LzEwNDM4MTExNC5jbXPSAYMBaHR0cHM6Ly90aW1lc29maW5kaWEuaW5kaWF0aW1lcy5jb20vaW5kaWEvcmVjb3JkLTEtNjgtbGFraC1yb2FkLWFjY2lkZW50LWRlYXRocy1pbi0yMDIyLTEtZXZlcnktMy1taW4vYW1wX2FydGljbGVzaG93LzEwNDM4MTExNC5jbXM?hl=en-IN&gl=IN&ceid=IN%3Aen
Pune Porsche accident: Rahul Gandhi's ‘two India’ attack on PM Modi over Pune teen’s bail condition,news.google.com/articles/CBMingFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vaW5kaWEtbmV3cy9wdW5lLXBvcnNjaGUtYWNjaWRlbnQtcmFodWwtZ2FuZGhpcy10d28taW5kaWEtYXR0YWNrLW9uLXBtLW1vZGktb3Zlci1wdW5lLXRlZW4tcy1iYWlsLWNvbmRpdGlvbi0xMDE3MTYzMDYzMzc0MDcuaHRtbNIBogFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vaW5kaWEtbmV3cy9wdW5lLXBvcnNjaGUtYWNjaWRlbnQtcmFodWwtZ2FuZGhpcy10d28taW5kaWEtYXR0YWNrLW9uLXBtLW1vZGktb3Zlci1wdW5lLXRlZW4tcy1iYWlsLWNvbmRpdGlvbi0xMDE3MTYzMDYzMzc0MDctYW1wLmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen
Caught On Cam: Woman Flung In Air As Speeding Car Hits Pedestrian In Pune. No Police Complaint Lodged,news.google.com/articles/CBMikAFodHRwczovL25ld3MuYWJwbGl2ZS5jb20vc3RhdGVzL3B1bmUtYWNjaWRlbnQtcHVuZS1jYXItY3Jhc2gtc3BlZWRpbmctY2FyLXJhbXMtaW50by13b21hbi1jYXVnaHQtb24tY2FtZXJhLWNjdHYtZm9vdGFnZS1tYWhhcmFzaHRyYS1uZXdzLTE2OTQ5MjfSAZQBaHR0cHM6Ly9uZXdzLmFicGxpdmUuY29tL3N0YXRlcy9wdW5lLWFjY2lkZW50LXB1bmUtY2FyLWNyYXNoLXNwZWVkaW5nLWNhci1yYW1zLWludG8td29tYW4tY2F1Z2h0LW9uLWNhbWVyYS1jY3R2LWZvb3RhZ2UtbWFoYXJhc2h0cmEtbmV3cy0xNjk0OTI3L2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen
"Car Crashes Into Multiple Bikes At Intersection In Maharashtra, 3 Dead",news.google.com/articles/CBMibWh0dHBzOi8vd3d3Lm5kdHYuY29tL2luZGlhLW5ld3MvY2FyLWNyYXNoZXMtaW50by1tdWx0aXBsZS1iaWtlcy1hdC1pbnRlcnNlY3Rpb24taW4tbWFoYXJhc2h0cmEtMy1kZWFkLTU4MDcyNDLSAXNodHRwczovL3d3dy5uZHR2LmNvbS9pbmRpYS1uZXdzL2Nhci1jcmFzaGVzLWludG8tbXVsdGlwbGUtYmlrZXMtYXQtaW50ZXJzZWN0aW9uLWluLW1haGFyYXNodHJhLTMtZGVhZC01ODA3MjQyL2FtcC8x?hl=en-IN&gl=IN&ceid=IN%3Aen
